date,product_id,quantity,price
2026-01-01,1,42,12500
2026-01-02,1,45,12500
2026-01-03,1,38,12500
2026-01-04,1,52,12500
2026-01-05,1,48,12500
2026-01-06,1,55,12500
2026-01-07,1,40,12500
2026-01-08,2,18,28500
2026-01-09,1,44,12500
2026-01-10,3,8,42000
2026-01-11,1,50,12500
2026-01-12,2,22,28500
2026-01-13,1,46,12500
2026-01-14,4,35,8500
2026-01-15,1,41,12500
2026-02-01,1,48,12500
2026-02-02,2,20,28500
2026-02-03,1,53,12500
2026-02-04,3,10,42000
2026-02-05,1,47,12500
2026-03-01,1,40,12500
2026-03-02,2,19,28500
2026-03-03,5,12,18500
2026-03-04,1,43,12500
2026-04-01,1,45,12500
2026-04-02,7,25,6500
2026-04-03,2,21,28500
2026-05-01,1,39,12500
2026-05-02,3,9,42000
2026-06-01,1,58,12500
2026-06-02,2,28,28500
2026-06-03,1,62,12500
2026-06-04,7,30,6500
2026-06-05,1,55,12500
2026-06-06,8,3,185000
2026-06-07,1,60,12500
2026-06-08,2,26,28500
2026-06-09,1,57,12500
2026-06-10,4,40,8500
